Time,Channel A,Channel B,Channel C,Channel D
(ns),(mV),(mV),(mV),(V)

-16.79999984,0.00000000,-3.93700800,3.93700800,0.00000000
-15.99999983,0.00000000,0.00000000,3.93700800,0.00787402
-15.19999981,0.00000000,-3.93700800,3.93700800,0.00787402
-14.39999980,0.00000000,0.00000000,3.93700800,0.00787402
-13.59999979,0.00000000,0.00000000,3.93700800,0.00787402
-12.79999978,-3.93700800,-7.87401500,3.93700800,0.00787402
-11.99999977,3.93700800,-3.93700800,3.93700800,0.00787402
-11.19999976,0.00000000,-7.87401500,0.00000000,0.00787402
-10.39999975,-3.93700800,-3.93700800,3.93700800,0.00000000
-9.59999974,0.00000000,0.00000000,3.93700800,0.00000000
-8.79999973,0.00000000,-3.93700800,3.93700800,0.00000000
-7.99999972,0.00000000,0.00000000,3.93700800,0.00000000
-7.19999971,0.00000000,-3.93700800,3.93700800,0.00787402
-6.39999970,0.00000000,0.00000000,3.93700800,0.00787402
-5.59999969,-3.93700800,-3.93700800,3.93700800,0.00787402
-4.79999968,0.00000000,0.00000000,3.93700800,0.00787402
-3.99999966,0.00000000,-7.87401500,0.00000000,0.00787402
-3.19999965,-3.93700800,-7.87401500,3.93700800,0.00787402
-2.39999964,-3.93700800,0.00000000,3.93700800,0.00787402
-1.59999963,-3.93700800,-3.93700800,3.93700800,0.00787402
-0.79999962,0.00000000,0.00000000,3.93700800,0.00787402
0.00000039,0.00000000,-3.93700800,39.37008000,0.00787402
0.80000040,0.00000000,0.00000000,295.27560000,0.00787402
1.60000041,-39.37008000,-3.93700800,82.67715000,0.00000000
2.40000042,-236.22050000,-7.87401500,-3.93700800,0.00000000
3.20000043,-448.81890000,-55.11811000,-11.81102000,-0.09448819
4.00000044,-456.69290000,-275.59050000,7.87401500,-0.44881890
4.80000045,-314.96060000,-456.69290000,3.93700800,-0.62204720
5.60000046,-169.29130000,-377.95270000,7.87401500,-0.38582680
6.40000047,-59.05511000,-200.78740000,7.87401500,-0.14960630
7.20000048,-3.93700800,-90.55118000,3.93700800,-0.05511811
8.00000050,-7.87401500,-43.30709000,3.93700800,-0.03937008
8.80000051,-19.68504000,-19.68504000,3.93700800,-0.03149606
9.60000052,-23.62205000,3.93700800,3.93700800,-0.03937008
10.40000053,-31.49606000,23.62205000,3.93700800,-0.02362205
11.20000054,-7.87401500,15.74803000,7.87401500,0.00000000
12.00000055,15.74803000,-19.68504000,3.93700800,0.00787402
12.80000056,23.62205000,-31.49606000,7.87401500,0.02362205
13.60000057,15.74803000,-27.55905000,7.87401500,0.02362205
14.40000058,-3.93700800,-15.74803000,7.87401500,0.00787402
15.20000059,-15.74803000,-15.74803000,3.93700800,0.00000000
16.00000060,-15.74803000,-15.74803000,3.93700800,-0.00787402
16.80000061,-7.87401500,-7.87401500,3.93700800,0.00787402
17.60000062,3.93700800,0.00000000,3.93700800,0.01574803
18.40000063,11.81102000,7.87401500,3.93700800,0.01574803
19.20000064,3.93700800,3.93700800,3.93700800,0.00787402
20.00000066,0.00000000,0.00000000,3.93700800,0.00000000
20.80000067,-7.87401500,-3.93700800,3.93700800,0.00000000
21.60000068,-11.81102000,0.00000000,7.87401500,0.00787402
22.40000069,0.00000000,3.93700800,0.00000000,0.01574803
23.20000070,7.87401500,0.00000000,3.93700800,0.00787402
24.00000071,3.93700800,-7.87401500,7.87401500,0.00000000
24.80000072,3.93700800,-3.93700800,3.93700800,0.00000000
25.60000073,-3.93700800,-3.93700800,0.00000000,0.00000000
26.40000074,-3.93700800,0.00000000,3.93700800,0.00000000
27.20000075,-3.93700800,-3.93700800,3.93700800,0.00000000
28.00000076,0.00000000,-3.93700800,3.93700800,0.00787402
28.80000077,0.00000000,-3.93700800,3.93700800,0.00000000
29.60000078,0.00000000,-3.93700800,3.93700800,0.00787402
30.40000079,-3.93700800,-7.87401500,3.93700800,0.00787402
31.20000081,-3.93700800,-7.87401500,3.93700800,0.00000000
32.00000082,0.00000000,-3.93700800,0.00000000,0.00000000
32.80000083,0.00000000,0.00000000,3.93700800,0.00787402
33.60000084,0.00000000,0.00000000,3.93700800,0.00787402
34.40000085,-3.93700800,0.00000000,3.93700800,0.00000000
35.20000086,0.00000000,-3.93700800,0.00000000,0.00787402
36.00000087,0.00000000,-3.93700800,3.93700800,0.00000000
36.80000088,-3.93700800,0.00000000,3.93700800,0.00787402
37.60000089,0.00000000,3.93700800,3.93700800,0.00787402
38.40000090,0.00000000,3.93700800,3.93700800,0.00787402
